"alpha","nu","k","q_critical"
"0.001","3",60,"52.509"
"0.001","3",70,"53.746"
"0.001","3",80,"54.801"
"0.001","3",90,"55.719"
"0.001","3",100,"56.531"
"0.001","4",38,"29.429"
"0.001","4",40,"29.683"
"0.001","4",50,"30.770"
"0.001","4",60,"31.641"
"0.001","4",70,"32.364"
"0.001","4",80,"32.983"
"0.001","4",90,"33.521"
"0.001","4",100,"33.998"
"0.001","5",38,"21.853"
"0.001","5",40,"22.035"
"0.001","5",50,"22.816"
"0.001","5",60,"23.443"
"0.001","5",70,"23.964"
"0.001","5",80,"24.410"
"0.001","5",90,"24.800"
"0.001","5",100,"25.144"
"0.001","6",38,"17.954"
"0.001","6",40,"18.099"
"0.001","6",50,"18.721"
"0.001","6",60,"19.221"
"0.001","6",70,"19.638"
"0.001","6",80,"19.995"
"0.001","6",90,"20.306"
"0.001","6",100,"20.582"
"0.001","7",38,"15.615"
"0.001","7",40,"15.737"
"0.001","7",50,"16.263"
"0.001","7",60,"16.687"
"0.001","7",70,"17.040"
"0.001","7",80,"17.343"
"0.001","7",90,"17.607"
"0.001","7",100,"17.841"
"0.001","8",38,"14.067"
"0.001","8",40,"14.175"
"0.001","8",50,"14.636"
"0.001","8",60,"15.008"
"0.001","8",70,"15.319"
"0.001","8",80,"15.585"
"0.001","8",90,"15.818"
"0.001","8",100,"16.025"
"0.001","9",38,"12.972"
"0.001","9",40,"13.069"
"0.001","9",50,"13.484"
"0.001","9",60,"13.819"
"0.001","9",70,"14.099"
"0.001","9",80,"14.339"
"0.001","9",90,"14.550"
"0.001","9",100,"14.736"
"0.001","10",38,"12.158"
"0.001","10",40,"12.247"
"0.001","10",50,"12.627"
"0.001","10",60,"12.934"
"0.001","10",70,"13.191"
"0.001","10",80,"13.412"
"0.001","10",90,"13.605"
"0.001","10",100,"13.777"
"0.001","11",38,"11.531"
"0.001","11",40,"11.613"
"0.001","11",50,"11.966"
"0.001","11",60,"12.251"
"0.001","11",70,"12.490"
"0.001","11",80,"12.696"
"0.001","11",90,"12.875"
"0.001","11",100,"13.035"
"0.001","12",38,"11.032"
"0.001","12",40,"11.109"
"0.001","12",50,"11.441"
"0.001","12",60,"11.709"
"0.001","12",70,"11.933"
"0.001","12",80,"12.126"
"0.001","12",90,"12.295"
"0.001","12",100,"12.445"
"0.001","13",38,"10.627"
"0.001","13",40,"10.700"
"0.001","13",50,"11.013"
"0.001","13",60,"11.267"
"0.001","13",70,"11.479"
"0.001","13",80,"11.662"
"0.001","13",90,"11.822"
"0.001","13",100,"11.964"
"0.001","14",38,"10.292"
"0.001","14",40,"10.361"
"0.001","14",50,"10.659"
"0.001","14",60,"10.901"
"0.001","14",70,"11.103"
"0.001","14",80,"11.277"
"0.001","14",90,"11.430"
"0.001","14",100,"11.565"
"0.001","15",38,"10.010"
"0.001","15",40,"10.076"
"0.001","15",50,"10.361"
"0.001","15",60,"10.592"
"0.001","15",70,"10.786"
"0.001","15",80,"10.953"
"0.001","15",90,"11.099"
"0.001","15",100,"11.229"
"0.001","16",38,"9.769"
"0.001","16",40,"9.832"
"0.001","16",50,"10.107"
"0.001","16",60,"10.329"
"0.001","16",70,"10.516"
"0.001","16",80,"10.676"
"0.001","16",90,"10.817"
"0.001","16",100,"10.942"
"0.001","17",38,"9.561"
"0.001","17",40,"9.623"
"0.001","17",50,"9.887"
"0.001","17",60,"10.102"
"0.001","17",70,"10.282"
"0.001","17",80,"10.437"
"0.001","17",90,"10.573"
"0.001","17",100,"10.693"
"0.001","18",38,"9.380"
"0.001","18",40,"9.440"
"0.001","18",50,"9.696"
"0.001","18",60,"9.904"
"0.001","18",70,"10.078"
"0.001","18",80,"10.228"
"0.001","18",90,"10.360"
"0.001","18",100,"10.477"
"0.001","19",38,"9.221"
"0.001","19",40,"9.279"
"0.001","19",50,"9.528"
"0.001","19",60,"9.729"
"0.001","19",70,"9.898"
"0.001","19",80,"10.044"
"0.001","19",90,"10.172"
"0.001","19",100,"10.286"
"0.001","20",38,"9.080"
"0.001","20",40,"9.136"
"0.001","20",50,"9.379"
"0.001","20",60,"9.575"
"0.001","20",70,"9.739"
"0.001","20",80,"9.881"
"0.001","20",90,"10.006"
"0.001","20",100,"10.116"
"0.001","24",38,"8.648"
"0.001","24",40,"8.699"
"0.001","24",50,"8.921"
"0.001","24",60,"9.100"
"0.001","24",70,"9.250"
"0.001","24",80,"9.380"
"0.001","24",90,"9.494"
"0.001","24",100,"9.595"
"0.001","30",38,"8.236"
"0.001","30",40,"8.283"
"0.001","30",50,"8.484"
"0.001","30",60,"8.646"
"0.001","30",70,"8.783"
"0.001","30",80,"8.901"
"0.001","30",90,"9.004"
"0.001","30",100,"9.096"
"0.001","40",38,"7.845"
"0.001","40",40,"7.887"
"0.001","40",50,"8.067"
"0.001","40",60,"8.214"
"0.001","40",70,"8.336"
"0.001","40",80,"8.442"
"0.001","40",90,"8.535"
"0.001","40",100,"8.618"
"0.001","60",38,"7.473"
"0.001","60",40,"7.510"
"0.001","60",50,"7.671"
"0.001","60",60,"7.802"
"0.001","60",70,"7.911"
"0.001","60",80,"8.005"
"0.001","60",90,"8.088"
"0.001","60",100,"8.161"
"0.001","120",38,"7.120"
"0.001","120",40,"7.153"
"0.001","120",50,"7.295"
"0.001","120",60,"7.410"
"0.001","120",70,"7.507"
"0.001","120",80,"7.589"
"0.001","120",90,"7.662"
"0.001","120",100,"7.726"
"0.001","Inf",38,"6.787"
"0.001","Inf",40,"6.816"
"0.001","Inf",50,"6.941"
"0.001","Inf",60,"7.041"
"0.001","Inf",70,"7.124"
"0.001","Inf",80,"7.196"
"0.001","Inf",90,"7.259"
"0.001","Inf",100,"7.314"
